,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,3272.92,3237.4,3241.06,3334.17,3400.86,3376.52,3316.47,3326.97,3236.87,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96
1,3237.4,3241.06,3334.17,3400.86,3376.52,3316.47,3326.97,3236.87,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96,3315.6
2,3241.06,3334.17,3400.86,3376.52,3316.47,3326.97,3236.87,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96,3315.6,3289.67
3,3334.17,3400.86,3376.52,3316.47,3326.97,3236.87,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96,3315.6,3289.67,3387.48
4,3400.86,3376.52,3316.47,3326.97,3236.87,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96,3315.6,3289.67,3387.48,3360.03
5,3376.52,3316.47,3326.97,3236.87,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96,3315.6,3289.67,3387.48,3360.03,3378.21
6,3316.47,3326.97,3236.87,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96,3315.6,3289.67,3387.48,3360.03,3378.21,3361.97
7,3326.97,3236.87,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96,3315.6,3289.67,3387.48,3360.03,3378.21,3361.97,3309.96
8,3236.87,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96,3315.6,3289.67,3387.48,3360.03,3378.21,3361.97,3309.96,3326.86
9,3254.46,3186.08,3237.25,3202.31,3222.64,3290.75,3320.12,3300.12,3356.44,3309.5,3259.96,3315.6,3289.67,3387.48,3360.03,3378.21,3361.97,3309.96,3326.86,3328.0
